sku|project_id|polygon_id|latitude|longitude|radius|projektstatus_alt
1210_1803|1210|1803|52.437114424371615|8.27048987994105|1|9
12175_1839|12175|1839|53.054597911461634|7.347839995866417|1.3|9
1296_1510|1296|1510|51.021715115773375|7.64900946930277|2|8
1296_1511|1296|1511|51.0322335837892|7.6893834410735495|1|8
1296_1512|1296|1512|51.03956755730007|7.702853256894252|1|8
1665_1610|1665|1610|52.30394362214486|7.163231452617187|1.5|8
2507_1843|2507|1843|52.85324129999484|7.687083369919562|1.7|9
2888_1777|2888|1777|51.20776378194368|6.291653671298974|1|9
2888_1778|2888|1778|51.20916681258953|6.293735211523682|1|9
34530030100_1825|34530030100|1825|52.809289982591785|8.111315821578758|1|9
34530030100_1826|34530030100|1826|52.81284589665868|8.059020823326877|1|9
34600050100_1775|34600050100|1775|52.5826946092287|8.131463013610475|1.5|9
34600050100_1776|34600050100|1776|52.56335347562104|8.158171315420132|1|9
34600070100_1773|34600070100|1773|52.47779549904057|8.09483523930806|1|9
34600070100_1774|34600070100|1774|52.512697304736605|8.073873004851768|1.6|9
34600100100_1764|34600100100|1764|52.83699412418299|8.31362634663292|1.3|9
3546_1754|3546|1754|51.68072585039281|6.496214066897413|1|9
3710_1845|3710|1845|52.91458940530585|7.536710310679302|1.2|9
3711_1842|3711|1842|52.92464342490969|7.642482334281844|1.4|9
4497_1617|4497|1617|53.93028194244475|10.297852509170655|1|8
51700360000_1735|51700360000|1735|51.692910739760364|6.870846934032418|1.5|8
51700360200_1737|51700360200|1737|51.68129190846216|6.850669112170719|1|8
53700240600_1780|53700240600|1780|50.99495693979692|5.942872405271315|1.2|9
55540400100_1503|55540400100|1503|51.76894878520207|6.821457979439077|1|8
55580400200_1500|55580400200|1500|52.018332958706466|7.2073006429090265|1.1|8
55580400300_1501|55580400300|1501|52.025403283203325|7.2732261140263805|1|8
55660040100_1739|55660040100|1739|52.047399035789205|7.470771627160953|1.2|8
55660640100_1738|55660640100|1738|52.084967955174434|7.473747469561502|1.3|8
55700240100_1498|55700240100|1498|51.92274285148068|7.845659003168551|1.2|8
55700240100_1499|55700240100|1499|51.91287582028615|7.807754009753981|1|8
55700520500_1734|55700520500|1734|52.0241890584297|7.777987604193443|1|8
55700520500_1736|55700520500|1736|52.02861520139939|7.751428313551778|1|8
6175_1753|6175|1753|51.681131068742815|6.570058058847064|1|9
902_1611|902|1611|52.71717923255743|7.227499034303818|1|8
902_1612|902|1612|52.698583714959796|7.224128034603621|1|8
902_1613|902|1613|52.66651348564336|7.242731174668934|1|8
91811150100_1740|91811150100|1740|48.07535310965024|11.111870319459017|1.4|8
91811390100_1741|91811390100|1741|48.04630004284383|11.093809074517408|1.4|8
